game_id,inning,home_runs,away_runs,home_hits,away_hits,home_errors,away_errors,home_lob,away_lob
718723,5,4,2,3,1,0,0,3,3
718723,6,0,0,1,0,0,0,1,0
718723,7,0,1,0,1,0,0,0,0
718723,8,0,0,1,1,0,0,0,1
718723,9,1,0,2,0,0,0,2,0
718723,10,0,0,0,0,0,0,1,1
718723,11,1,2,1,1,0,0,1,0
718721,1,1,2,2,3,0,0,2,2
718721,2,5,0,5,0,0,0,0,0
718721,3,0,0,1,0,0,0,1,0
718721,4,0,3,0,4,0,0,0,1
718721,5,2,0,2,0,0,0,0,1
718721,6,0,2,0,3,1,0,0,2
718721,7,0,0,1,0,0,1,1,1
718721,8,0,3,0,4,0,0,0,1
718721,9,2,0,2,0,0,0,1,1
718721,10,1,2,1,2,0,0,1,2
718722,1,2,0,2,1,0,0,2,1
718722,2,1,2,2,3,0,0,2,0
718722,3,0,0,1,1,0,0,0,2
718722,4,0,0,0,0,0,0,0,0
718722,5,0,0,1,0,0,0,1,0
718722,6,0,0,0,0,0,0,0,0
718722,7,0,1,0,1,0,0,2,0
718722,8,0,0,0,0,0,0,0,0
718722,9,2,1,2,3,0,0,0,1
718720,1,1,0,1,1,0,0,2,1
718720,2,0,1,0,3,0,0,0,2
718720,3,1,0,1,0,0,1,1,0
718720,4,0,1,0,3,0,0,0,2
718720,5,1,2,2,2,0,0,2,1
718720,6,0,0,0,0,0,0,0,0
718720,7,0,0,1,0,0,0,2,2
718720,8,0,2,0,1,0,0,0,1
718720,9,0,1,0,1,0,0,1,1
718718,1,0,0,0,1,0,0,1,1
718718,2,0,0,0,0,0,0,0,0
718718,3,2,0,3,0,0,0,0,0
718718,4,0,0,0,0,0,0,2,0
718718,5,7,4,5,3,0,0,0,0
718718,6,0,0,1,0,0,0,1,0
718718,7,2,0,2,2,0,0,1,2
718718,8,2,0,2,0,0,1,1,0
718718,9,,0,0,0,0,0,0,1
718717,1,0,0,0,1,0,0,0,1
718717,2,1,0,2,0,0,0,1,2
718717,3,0,0,0,1,0,0,0,0
718717,4,2,0,3,0,0,1,2,1
718717,5,2,1,2,1,0,0,0,1
718717,6,0,3,0,3,0,0,0,2
718717,7,0,0,0,0,0,0,0,0
718717,8,0,4,1,3,1,0,2,1
718717,9,1,0,2,0,0,0,1,0
718716,1,1,1,3,3,0,0,1,2
718716,2,0,0,0,0,0,0,0,0
718716,3,1,0,1,0,0,0,0,1
718716,4,1,0,1,0,0,0,1,0
718716,5,0,0,1,0,1,0,1,3
718716,6,0,1,0,2,0,0,0,1
718716,7,0,6,0,5,1,0,0,1
718716,8,2,3,2,4,0,0,0,2
718716,9,0,1,1,2,0,0,1,1
718714,1,0,0,0,0,0,0,0,0
718714,2,1,0,2,0,0,0,1,0
718714,3,0,0,0,0,0,0,0,0
718714,4,0,0,0,1,0,0,0,1
718714,5,0,0,0,0,0,0,0,0
718714,6,0,0,1,1,0,0,1,1
718714,7,0,0,0,0,0,0,0,1
718714,8,0,0,0,0,0,0,0,0
718714,9,,0,0,1,0,0,0,0
718715,1,2,3,3,3,0,0,2,0
718715,2,2,1,3,1,0,0,1,0
718715,3,0,0,1,0,0,0,0,0
718715,4,1,0,4,0,0,0,2,0
718715,5,0,0,1,0,0,0,1,1
718715,6,0,0,2,0,0,0,2,0
718715,7,1,0,2,0,0,0,2,0
718715,8,0,1,0,1,0,0,0,1
718715,9,0,5,0,5,0,0,0,1
718710,1,0,1,0,1,0,0,0,0
718710,2,0,0,0,0,0,0,0,0
718710,3,0,1,1,1,0,0,1,0
718710,4,0,0,0,0,0,0,1,0
718710,5,0,2,0,4,0,0,0,2
718710,6,0,0,0,2,0,0,0,2
718710,7,0,0,1,1,0,0,0,2
718710,8,0,0,0,1,0,0,0,1
718710,9,1,0,2,0,0,0,2,0
718713,1,1,0,2,0,0,0,1,1
718713,2,0,2,0,1,0,0,0,1
718713,3,0,1,0,1,0,0,0,0
718713,4,0,0,0,0,0,0,0,0
718713,5,0,0,1,1,0,0,1,2
718713,6,0,0,0,0,0,1,2,0
718713,7,0,1,1,2,0,0,1,2
718713,8,0,0,0,0,0,0,0,0
718713,9,0,0,0,0,0,1,1,0
718708,1,0,0,0,1,0,0,0,2
718708,2,1,0,2,1,0,0,0,1
718708,3,0,1,0,3,0,0,0,1
718708,4,0,1,0,2,0,0,0,1
718708,5,0,0,1,0,0,0,2,0
718708,6,0,1,0,1,0,0,0,0
718708,7,0,0,1,1,0,0,1,1
